"","Bridge_ID","Built_Year","County_Code","Deck_Cond","Superstructure_Cond","Substructure_Cond","Operating_Rating"
"58","090203000001032",1969,119,"6","7","6",29.8
"59","090203000001033",1999,119,"7","7","7",32.7
"60","090203000001035",1953,119,"6","6","7",22.7
"61","090203000001036",1955,119,"7","7","7",29.5
"62","090204000001009",1985,113,"7","7","6",41.8
"63","090204000001013",1952,113,"6","7","7",20.9
"64","090204000001014",1996,113,"7","7","6",75.8
"65","090204000001015",1993,7,"7","7","6",42.4
"66","090204000001016",1937,113,"7","6","5",79
"67","090204000001020",1959,7,"7","7","7",43.6
"68","090204000001022",1950,7,"6","6","6",26.3
"69","090204000001023",1952,113,"7","7","7",29.1
"70","090204000001026",1997,113,"7","8","7",70.3
"71","090204000001042",1953,113,"7","6","6",19.8
"72","090602000001000",1980,41,"7","7","4",33.4
"73","090602000001001",1949,41,"7","7","5",37.2
"74","090602000001002",1984,41,"7","7","7",NA
"75","090602000001012",1982,41,"7","7","7",27.2
"76","090602000001015",1980,37,"6","6","7",26.2
"77","090602000001016",1982,41,"7","7","7",NA
"78","090602000001020",1958,37,"7","7","6",77.2
"79","090602000001021",1963,41,"6","7","6",31.4
"80","090603000001004",1949,37,"7","7","6",43.4
"81","090604000001005",1982,83,"7","7","7",30.1
"82","090604000001006",1964,83,"7","7","6",NA
"83","090604000001017",1968,83,"7","7","7",NA
"84","090604000001047",2010,83,"N","N","N",NA
"85","090605000001007",1977,41,"7","7","5",32.4
"86","090605000001009",1962,41,"8","8","5",77.2
"87","090605000001010",1949,41,"6","7","6",35.4
"88","090605000001011",1975,41,"7","7","6",26.6
"89","090605000001013",1980,41,"7","7","7",35.3
"90","090605000001014",1951,41,"7","6","7",25.4
"91","090605000001018",1968,41,"5","7","7",45.4
"92","090605000001023",2006,41,"N","N","N",NA
"93","091301000001037",1961,99,"N","N","N",NA
"94","091301000003081",2001,99,"8","8","8",38.2
"95","091301000029905",2010,99,"N","N","N",NA
"96","091301000031813",2019,99,"N","N","N",NA
"97","091302000010814",2006,113,"7","8","5",50.2
"98","091302000015521",2012,3,"7","7","7",78.7
"99","091302000031811",2018,7,"N","N","N",NA
"100","091303000003316",2003,37,"6","8","8",39.2
"101","091303000013222",2009,41,"7","7","7",80.7
"102","091303000025378",2003,41,"N","N","N",NA
"103","091303000025381",2006,41,"N","N","N",NA
"104","091304000025257",2016,83,"N","N","N",NA
"105","B01000200000000",1975,1,"8","8","7",71.8
"106","B01000300000000",1981,1,"7","8","7",71.8
"107","B01000400000000",1984,1,"7","7","7",65.3
"108","B01000500000000",1984,1,"7","7","8",52.3
"109","B01000600000000",1984,1,"7","8","8",44.1
"110","B01000700000000",1986,1,"7","7","8",52.3
"111","B01000800000000",1986,1,"7","7","8",57.2
"112","B01000900000000",1988,1,"7","7","8",60.4
"113","B01001000000000",1990,1,"7","7","8",71.8
"114","B01001200000000",1988,1,"7","7","7",62.1
"115","B01001300000000",1959,1,"7","7","6",50.6
"116","B01001400000000",1989,1,"7","7","8",63.7
"117","B01001500000000",1991,1,"7","7","7",57.2
"118","B01001600000000",1989,1,"7","7","6",62.1
"119","B01001700000000",1993,1,"6","7","7",60.4
"120","B01001800000000",1991,1,"7","7","6",47.4
"121","B01001900000000",1997,1,"7","7","7",49
"122","B01002000000000",1997,1,"7","8","8",71.8
"123","B01002100000000",1999,1,"8","9","9",62.1
"124","B01002200000000",2001,1,"7","7","8",63.7
"125","B01002300000000",2003,1,"8","8","8",45.7
"126","B01002500000000",2005,1,"7","7","8",65.3
"127","B01002800000000",2006,1,"7","7","8",71.8
"128","B01002900000000",2006,1,"7","7","8",71.8
"129","B01003000000000",2009,1,"7","8","8",58.8
"130","B01003100000000",2013,1,"8","8","9",45.7
"131","B01003200000000",2010,1,"8","8","8",71.8
"132","B01003300000000",2012,1,"7","7","8",48.3
"133","B01003400000000",2013,1,"8","8","8",51.5
"134","B01003600000000",1937,1,"7","6","5",55.5
"135","B01032500000000",1950,1,"6","6","6",53.9
"136","B01053700000000",1957,1,"N","N","N",53.9
"137","B02000400000000",1955,3,"5","6","7",39.2
"138","B02000500000000",1960,3,"6","7","7",55.5
"139","B02000600000000",1961,3,"6","6","6",42.5
"140","B02000700000000",1948,3,"6","6","6",35.9
"141","B02000800000000",1949,3,"8","8","7",65.3
"142","B02000900000000",1964,3,"5","5","7",42.5
"143","B02001000000000",1956,3,"6","8","7",67
"144","B02001100000000",1969,3,"N","N","N",53.9
"145","B02001200000000",1971,3,"7","7","7",52.3
"146","B02001300000000",1971,3,"7","7","6",62.1
"147","B02001400000000",1976,3,"5","7","7",80
"148","B02001500000000",1975,3,"7","7","7",99.9
"149","B02001600000000",1976,3,"7","8","8",71.8
"150","B02001700000000",1976,3,"6","6","6",60.4
"151","B02001800000000",1976,3,"7","8","7",45.7
"152","B02001900000000",1977,3,"7","7","8",45.7
"153","B02002000000000",1978,3,"7","8","8",40.8
"154","B02002200000000",1980,3,"N","N","N",53.9
"155","B02002300000000",1982,3,"7","7","7",68.6
"156","B02002500000000",1985,3,"5","6","7",52.3
"157","B02002600000000",1987,3,"5","5","7",67
"158","B02002700000000",1986,3,"7","7","7",52.3
"159","B02002800000000",1988,3,"7","8","8",62.1
"160","B02002900000000",1988,3,"7","7","7",58.8
"161","B02003000000000",1988,3,"7","7","7",62.1
"162","B02003100000000",1970,3,"7","7","3",60.4
"163","B02003200000000",1990,3,"7","7","7",62.1
"164","B02003300000000",1989,3,"6","6","7",68.6
"165","B02003400000000",1990,3,"7","7","8",60.4
"166","B02003500000000",1990,3,"7","7","7",62.1
"167","B02003600000000",1989,3,"7","7","8",58.8
"168","B02003700000000",1990,3,"8","8","8",62.1
"169","B02003800000000",1990,3,"7","7","6",60.4
"170","B02004100000000",1991,3,"7","8","8",76.7
"171","B02004200000000",1992,3,"7","9","8",60.4
"172","B02004300000000",1993,3,"6","6","7",62.1
"173","B02004400000000",1993,3,"7","7","8",63.7
"174","B02004500000000",1993,3,"7","7","8",63.7
"175","B02004600000000",1997,3,"8","8","7",47.4
"176","B02004700000000",1997,3,"6","6","6",98
"177","B02004900000000",1996,3,"7","7","8",57.2
"178","B02005100000000",1997,3,"8","8","8",67
"179","B02005200000000",1996,3,"7","7","8",70.2
"180","B02005300000000",1998,3,"6","8","8",55.5
"181","B02005400000000",2001,3,"7","7","7",60.4
"182","B02005500000000",1998,3,"6","6","6",67
"183","B02005600000000",1999,3,"8","8","8",65.3
"184","B02005700000000",2000,3,"6","6","8",63.7
"185","B02005800000000",2003,3,"8","8","8",62.1
"186","B02005900000000",2003,3,"8","8","8",99.9
"187","B02006000000000",2004,3,"7","7","9",63.7
"188","B02006200000000",2004,3,"7","7","7",70.2
"189","B02006400000000",2011,3,"7","7","9",49.6
"190","B02006600000000",2018,3,"9","9","9",44.7
"191","B02006700000000",2016,3,"8","8","8",48.9
"192","B02007000000000",2016,3,"8","8","8",59.6
"193","B02041400000000",1926,3,"5","7","6",58.8
"194","B02042300000000",1948,3,"6","6","5",47.4
"195","B03000200000000",1919,5,"4","6","5",45.7
"196","B03000600000000",1951,5,"6","7","5",57.2
"197","B03000800000000",1952,5,"6","7","5",62.1
"198","B03000900000000",1958,5,"7","7","7",58.8
"199","B03001000000000",1964,5,"7","7","7",60.4
"200","B03001100000000",1978,5,"6","7","7",71.8
"201","B03001200000000",1970,5,"N","N","N",53.9
"202","B03001300000000",1970,5,"N","N","N",53.9
"203","B03001400000000",1972,5,"7","7","7",44.1
"204","B03001500000000",1972,5,"6","6","7",50.6
"205","B03001600000000",1972,5,"5","5","7",39.2
"206","B03001700000000",1972,5,"7","7","7",60.4
"207","B03001800000000",1972,5,"5","7","7",45.7
"208","B03001900000000",1972,5,"5","7","7",47.4
"209","B03002000000000",1972,5,"5","6","7",47.4
"210","B03002100000000",1972,5,"5","7","6",40.8
"211","B03002200000000",1972,5,"7","7","7",35.9
"212","B03002300000000",1972,5,"3","6","5",62.1
"213","B03002400000000",1972,5,"5","5","6",60.4
"214","B03002500000000",1972,5,"6","7","7",37.6
"215","B03002600000000",1972,5,"6","7","7",37.6
"216","B03002700000000",1972,5,"6","7","7",55.5
"217","B03002800000000",1972,5,"8","7","6",45.7
"218","B03002900000000",1972,5,"6","7","7",32.7
"219","B03003000000000",1972,5,"5","7","6",53.9
"220","B03003100000000",1972,5,"5","7","6",49
"221","B03003200000000",1972,5,"N","N","N",53.9
"222","B03003300000000",1972,5,"N","N","N",53.9
"223","B03003500000000",1971,5,"6","6","8",53.9
"224","B03003600000000",1973,5,"6","7","6",70.2
"225","B03003700000000",1972,5,"5","7","7",57.2
"226","B03003800000000",1972,5,"5","7","6",58.8
"227","B03003900000000",1973,5,"6","7","7",62.1
"228","B03004000000000",1973,5,"5","6","7",65.3
"229","B03004100000000",1977,5,"7","7","7",50.6
"230","B03004200000000",1977,5,"6","7","6",58.8
"231","B03004300000000",1977,5,"6","7","6",65.3
"232","B03004400000000",1977,5,"6","7","7",45.7
"233","B03004500000000",1977,5,"6","7","6",45.7
"234","B03004600000000",1977,5,"6","7","6",71.8
"235","B03004700000000",1977,5,"6","5","6",47.4
"236","B03004800000000",1977,5,"5","6","6",80
"237","B03004900000000",1977,5,"5","6","7",75.1
"238","B03005000000000",1976,5,"5","5","7",63.7
"239","B03005100000000",1976,5,"5","5","7",63.7
"240","B03005200000000",1976,5,"6","7","7",81.6
"241","B03005300000000",1976,5,"6","7","7",89.8
"242","B03005400000000",1977,5,"7","7","7",52.3
"243","B03005500000000",1977,5,"7","7","7",52.3
"244","B03005600000000",1977,5,"6","6","7",50.6
"245","B03005700000000",1984,5,"6","6","7",49
"246","B03005900000000",1973,5,"7","6","7",88.2
"247","B03006000000000",1973,5,"6","6","8",57.2
"248","B03006100000000",1973,5,"7","7","8",55.5
"249","B03006200000000",1973,5,"7","7","8",50.6
"250","B03006300000000",1973,5,"7","7","8",50.6
"251","B03006600000000",1976,5,"N","N","N",53.9
"252","B03006700000000",1976,5,"N","N","N",53.9
"253","B03006800000000",1976,5,"7","8","8",39.2
"254","B03006900000000",1976,5,"8","8","8",62.1
"255","B03007000000000",1976,5,"8","7","8",76.7
"256","B03007200000000",1979,5,"6","7","7",67
"257","B03007300000000",1979,5,"6","7","7",78.4
"258","B03007400000000",1981,5,"6","7","7",52.3
"259","B03007500000000",1979,5,"7","7","7",62.1
"260","B03007600000000",1980,5,"5","8","8",31
"261","B03007700000000",1979,5,"7","8","8",73.5
"262","B03007800000000",1986,5,"7","7","8",47.4
"263","B03007900000000",1987,5,"6","6","6",62.1
"264","B03008000000000",1982,5,"5","7","7",76.7
"265","B03008100000000",1981,5,"7","8","8",55.5
"266","B03008200000000",1983,5,"7","7","7",49
"267","B03008300000000",1983,5,"7","7","7",50.6
"268","B03008400000000",1983,5,"7","8","8",62.1
"269","B03008500000000",1984,5,"5","5","6",63.7
"270","B03008600000000",1983,5,"5","5","5",70.2
"271","B03008700000000",1983,5,"N","N","N",53.9
"272","B03008800000000",1983,5,"N","N","N",53.9
"273","B03009100000000",1986,5,"6","7","7",78.4
"274","B03009200000000",1985,5,"7","7","7",58.8
"275","B03009300000000",1985,5,"7","7","7",57.2
"276","B03009400000000",1985,5,"7","7","7",58.8
"277","B03009500000000",1985,5,"N","N","N",53.9
"278","B03009600000000",1987,5,"6","6","7",57.2
"279","B03009700000000",1986,5,"7","7","8",60.4
"280","B03009800000000",1986,5,"8","8","8",52.3
"281","B03009900000000",1986,5,"7","7","8",52.3
"282","B03010000000000",1986,5,"7","8","8",57.2
"283","B03010100000000",1986,5,"7","8","8",53.9
"284","B03010200000000",1988,5,"7","7","8",53.9
"285","B03010300000000",1988,5,"7","7","8",45.7
"286","B03010400000000",1988,5,"8","8","8",47.4
"287","B03010500000000",1988,5,"7","7","8",63.7
"288","B03010600000000",1988,5,"7","8","8",55.5
"289","B03010700000000",1988,5,"7","7","7",65.3
"290","B03010800000000",1989,5,"7","7","7",62.1
"291","B03011000000000",1988,5,"7","7","7",57.2
"292","B03011100000000",1988,5,"7","7","8",58.8
"293","B03011200000000",1990,5,"7","7","7",68.6
"294","B03011300000000",1990,5,"7","8","7",67
"295","B03011500000000",1996,5,"7","7","6",67
"296","B03011600000000",1992,5,"6","8","8",68.6
"297","B03011700000000",1990,5,"7","7","8",57.2
"298","B03011800000000",1991,5,"7","7","8",58.8
"299","B03011900000000",1994,5,"N","N","N",53.9
"300","B03012000000000",1991,5,"7","7","7",67
"301","B03012100000000",1991,5,"8","8","8",57.2
"302","B03012200000000",1991,5,"8","8","8",78.4
"303","B03012500000000",1993,5,"7","8","8",65.3
"304","B03012600000000",1994,5,"8","8","7",60.4
"305","B03012700000000",1994,5,"6","6","7",71.8
"306","B03012900000000",1993,5,"8","8","8",60.4
"307","B03013000000000",1993,5,"7","8","8",63.7
"308","B03013100000000",1993,5,"7","7","8",60.4
"309","B03013200000000",1994,5,"7","7","8",68.6
"310","B03013300000000",1994,5,"8","8","8",57.2
"311","B03013400000000",1997,5,"7","8","8",53.9
"312","B03013600000000",1997,5,"7","7","8",58.8
"313","B03013700000000",1997,5,"8","8","8",63.7
"314","B03013800000000",1997,5,"8","8","8",75.1
"315","B03013900000000",2002,5,"7","9","9",67
"316","B03014000000000",1998,5,"7","7","8",65.3
"317","B03014100000000",1999,5,"6","7","7",55.5
"318","B03014200000000",1997,5,"8","8","8",65.3
"319","B03014400000000",1994,5,"N","N","N",53.9
"320","B03014500000000",1999,5,"6","7","6",52.3
"321","B03014600000000",2000,5,"6","6","8",55.5
"322","B03014700000000",2001,5,"7","7","8",73.5
"323","B03014800000000",2001,5,"7","7","8",60.4
"324","B03014900000000",2001,5,"7","8","7",50.6
"325","B03015000000000",2000,5,"7","7","8",63.7
"326","B03015100000000",2001,5,"8","8","9",70.2
"327","B03015200000000",2001,5,"7","7","8",68.6
"328","B03015700000000",2002,5,"7","7","8",65.3
"329","B03015800000000",2001,5,"7","7","8",67
"330","B03015900000000",2002,5,"7","7","9",63.7
"331","B03017000000000",1999,5,"8","8","7",52.3
"332","B03017200000000",2004,5,"8","8","9",67
"333","B03017300000000",2004,5,"8","8","9",58.8
"334","B03017400000000",2001,5,"8","8","8",40.8
"335","B03017700000000",2004,5,"N","N","N",53.9
"336","B03017800000000",2004,5,"N","N","N",53.9
"337","B03018000000000",2010,5,"9","9","9",47.6
"338","B03018100000000",2006,5,"8","8","8",70.2
"339","B03018200000000",2010,5,"8","9","9",73.5
"340","B03018300000000",2006,5,"8","8","9",78.4
"341","B03018400000000",2007,5,"8","8","8",71.8
"342","B03018500000000",2006,5,"8","8","8",68.6
"343","B03018700000000",2012,5,"8","8","7",47.3
"344","B03018800000000",2007,5,"7","7","8",83.3
"345","B03019100000000",2008,5,"8","8","9",70.2
"346","B03019200000000",2006,5,"N","N","N",53.9
"347","B03019500000000",2012,5,"8","9","9",51.5
"348","B03019600000000",2013,5,"8","9","9",48
"349","B03019800000000",2013,5,"N","N","N",38.9
"350","B03020000000000",2017,5,"9","9","9",46
"351","B03020100000000",2017,5,"9","9","9",52.8
"352","B03020400000000",2018,5,"8","8","8",61.6
"353","B03020600000000",2017,5,"N","N","N",54.5
"354","B03072500000000",1928,5,"4","4","6",49
"355","B03072800000000",1931,5,"N","N","N",53.9
"356","B03072900000000",1931,5,"N","N","N",53.9
"357","B04000800000000",1953,7,"5","5","4",63.7
"358","B04000900000000",1954,7,"5","5","6",52.3
"359","B04001000000000",1954,7,"6","5","4",45.7
"360","B04001100000000",1956,7,"5","7","5",53.9
"361","B04001400000000",1959,7,"6","6","7",40.8
"362","B04001600000000",1964,7,"8","8","7",60.4
"363","B04001700000000",1966,7,"8","8","7",68.6
"364","B04001800000000",1971,7,"6","6","4",42.5
"365","B04001900000000",1972,7,"8","7","7",62.1
"366","B04002000000000",1976,7,"5","5","5",31
"367","B04002100000000",1975,7,"6","7","7",58.8
"368","B04002200000000",1977,7,"4","7","7",53.9
"369","B04002300000000",1976,7,"5","7","8",63.7
"370","B04002400000000",1976,7,"5","7","6",63.7
"371","B04002500000000",1977,7,"8","7","7",55.5
"372","B04002600000000",1978,7,"N","N","N",53.9
"373","B04002700000000",1980,7,"8","7","7",58.8
"374","B04002800000000",1980,7,"N","N","N",53.9
"375","B04002900000000",1981,7,"N","N","N",32.7
"376","B04003000000000",1981,7,"7","7","7",58.8
"377","B04003100000000",1995,7,"6","7","6",44.1
"378","B04003200000000",1981,7,"8","8","7",39.2
"379","B04003400000000",1982,7,"N","N","N",53.9
"380","B04003500000000",1987,7,"6","7","7",81.6
"381","B04003600000000",1984,7,"6","6","4",47.4
"382","B04003700000000",1981,7,"N","N","N",53.9
"383","B04003800000000",1984,7,"7","7","7",49
"384","B04003900000000",1984,7,"7","7","7",39.2
"385","B04004000000000",1984,7,"7","7","8",53.9
"386","B04004300000000",1985,7,"5","8","7",60.4
"387","B04004400000000",1987,7,"5","5","5",67
"388","B04004600000000",1987,7,"7","7","8",58.8
"389","B04004700000000",2000,7,"7","7","7",65.3
"390","B04004800000000",1987,7,"N","N","N",53.9
"391","B04004900000000",1990,7,"6","6","5",65.3
"392","B04005000000000",1988,7,"7","7","6",67
"393","B04005200000000",1990,7,"7","7","7",55.5
"394","B04005300000000",1988,7,"7","7","8",57.2
"395","B04005400000000",1990,7,"7","8","6",78.4
"396","B04005500000000",1990,7,"7","7","8",58.8
"397","B04005700000000",1991,7,"7","7","6",57.2
"398","B04005800000000",1991,7,"6","6","6",67
"399","B04006100000000",1992,7,"6","6","7",65.3
"400","B04006200000000",1992,7,"6","6","7",65.3
"401","B04006300000000",1992,7,"7","7","7",62.1
"402","B04006500000000",1992,7,"7","8","6",68.6
"403","B04006600000000",1992,7,"7","7","7",67
"404","B04006700000000",1991,7,"7","7","8",70.2
"405","B04006900000000",1992,7,"7","7","7",60.4
"406","B04007500000000",1995,7,"7","7","7",63.7
"407","B04007700000000",1954,7,"6","5","5",50.6
"408","B04007800000000",1999,7,"7","7","6",88.2
"409","B04008200000000",2000,7,"6","6","6",60.4
"410","B04008600000000",1999,7,"7","8","8",76.7
"411","B04008700000000",2000,7,"7","7","7",63.7
"412","B04008800000000",1998,7,"7","7","7",71.8
"413","B04009000000000",2000,7,"7","7","7",63.7
"414","B04009100000000",1999,7,"6","7","8",62.1
"415","B04009600000000",2014,7,"8","8","8",46.3
"416","B04009700000000",2002,7,"7","7","7",84.9
"417","B04009800000000",2003,7,"6","6","7",70.2
"418","B04009900000000",2003,7,"5","5","7",70.2
"419","B04010000000000",2004,7,"7","7","7",65.3
"420","B04010100000000",2004,7,"8","8","8",68.6
"421","B04010300000000",2006,7,"7","7","8",75.1
"422","B04010400000000",2004,7,"8","8","8",67
"423","B04010600000000",2008,7,"7","7","8",60.4
"424","B04010700000000",2007,7,"7","7","7",73.5
"425","B04010800000000",2005,7,"7","7","8",63.7
"426","B04010900000000",2007,7,"7","7","7",78.4
"427","B04011000000000",2005,7,"N","N","N",53.9
"428","B04011100000000",2019,7,"N","N","N",43.7
"429","B04011200000000",2016,7,"8","8","9",49.6
"430","B04011300000000",2016,7,"8","8","9",49.6
"431","B04011600000000",2018,7,"8","8","8",71.3
"432","B04011700000000",2018,7,"8","8","8",56.4
"433","B04012000000000",2015,7,"8","8","8",42.4
"434","B04012100000000",2017,7,"8","8","8",47.3
"435","B04012200000000",2019,7,"9","9","9",54.4
"436","B04022700000000",1940,7,"5","6","4",65.3
"437","B04041300000000",1938,7,"5","5","4",32.7
"438","B05000200000000",1948,9,"6","5","6",37.6
"439","B05000500000000",1949,9,"6","4","5",35.9
"440","B05000800000000",1948,9,"4","5","5",29.4
"441","B05001100000000",1949,9,"4","5","5",26.1
"442","B05001500000000",1953,9,"5","4","6",34.3
"443","B05001700000000",1952,9,"N","N","N",53.9
"444","B05001800000000",1955,9,"5","5","6",50.6
"445","B05001900000000",1955,9,"8","8","8",63.7
"446","B05002200000000",1954,9,"N","N","N",53.9
"447","B05002600000000",1968,9,"4","8","6",53.9
"448","B05002900000000",1955,9,"N","N","N",53.9
"449","B05003200000000",1955,9,"N","N","N",53.9
"450","B05003300000000",1957,9,"4","4","4",42.5
"451","B05003500000000",1956,9,"N","N","N",53.9
"452","B05003600000000",1956,9,"5","7","5",50.6
"453","B05003800000000",1957,9,"4","4","5",40.8
"454","B05004100000000",1957,9,"7","7","5",80
"455","B05004300000000",1962,9,"7","6","6",53.9
"456","B05004400000000",1957,9,"6","6","6",70.2
"457","B05004600000000",1959,9,"6","6","6",29.4
"458","B05004800000000",1959,9,"4","5","7",32.7
"459","B05004900000000",1960,9,"7","7","5",57.2
"460","B05005200000000",1962,9,"6","5","6",71.8
"461","B05005300000000",1963,9,"7","7","7",50.6
"462","B05005400000000",1962,9,"5","5","6",49
"463","B05005800000000",1962,9,"6","6","7",63.7
"464","B05007200000000",1970,9,"6","7","7",53.9
"465","B05007300000000",1970,9,"8","7","7",53.9
"466","B05007400000000",1988,9,"7","7","7",68.6
"467","B05007600000000",1970,9,"7","6","7",73.5
"468","B05007700000000",1970,9,"8","7","7",73.5
"469","B05007800000000",1970,9,"8","6","6",63.7
"470","B05007900000000",1970,9,"8","6","6",63.7
"471","B05008000000000",1987,9,"7","7","7",53.9
"472","B05008100000000",1988,9,"N","N","N",53.9
"473","B05010500000000",1965,9,"7","7","4",52.3
"474","B05010800000000",1975,9,"7","8","7",63.7
"475","B05011100000000",1974,9,"N","N","N",53.9
"476","B05011200000000",1970,9,"N","N","N",53.9
"477","B05011300000000",1970,9,"N","N","N",53.9
"478","B05011800000000",1969,9,"N","N","N",32.7
"479","B05011900000000",1974,9,"7","8","7",68.6
"480","B05012000000000",1975,9,"7","8","7",57.2
"481","B05012100000000",1975,9,"8","8","7",60.4
"482","B05012300000000",1966,9,"6","6","6",57.2
"483","B05012500000000",1998,9,"7","8","8",55.5
"484","B05012600000000",2004,9,"7","7","8",60.4
"485","B05012700000000",1968,9,"5","5","6",57.2
"486","B05012800000000",1967,9,"N","N","N",53.9
"487","B05013100000000",1971,9,"8","8","7",42.5
"488","B05013400010000",1973,9,"6","6","6",50.6
"489","B05013400020000",1973,9,"6","6","6",50.6
"490","B05013400030000",1973,9,"6","6","6",50.6
"491","B05013400040000",1973,9,"6","6","6",50.6
"492","B05013400050000",1973,9,"6","6","7",50.6
"493","B05013400060000",1973,9,"6","6","7",50.6
"494","B05013400070000",1973,9,"6","6","6",50.6
"495","B05013400080000",1973,9,"6","6","7",50.6
"496","B05013400090000",1973,9,"6","6","7",50.6
"497","B05013400100000",1973,9,"6","7","7",50.6
"498","B05013400110000",1973,9,"7","7","7",50.6
"499","B05013400120000",1973,9,"6","6","7",50.6
"500","B05013400130000",1973,9,"6","7","6",45.7
"501","B05013400140000",1973,9,"6","6","6",50.6
"502","B05013400150000",1973,9,"6","6","7",50.6
"503","B05013400160000",1973,9,"6","6","6",50.6
"504","B05013400170000",1973,9,"6","7","7",50.6
"505","B05013400180000",1973,9,"7","6","7",50.6
"506","B05013400190000",1973,9,"7","6","6",50.6
"507","B05013400200000",1973,9,"6","7","7",50.6
"508","B05013400210000",1973,9,"6","6","6",50.6
"509","B05013400220000",1973,9,"7","6","6",50.6
"510","B05013400230000",1973,9,"7","6","6",50.6
"511","B05013400240000",1973,9,"6","6","6",50.6
"512","B05013400250000",1973,9,"6","7","7",50.6
"513","B05014100000000",1971,9,"7","8","6",73.5
"514","B05014300000000",1974,9,"7","7","7",57.2
"515","B05014400000000",1974,9,"7","6","6",71.8
"516","B05014700000000",1974,9,"8","7","7",57.2
"517","B05014800000000",1974,9,"7","8","6",71.8
"518","B05014900000000",1975,9,"7","7","6",53.9
"519","B05015000000000",1975,9,"7","5","6",50.6
"520","B05015100000000",1973,9,"7","8","7",68.6
"521","B05015200000000",1973,9,"8","8","8",53.9
"522","B05015300000000",1973,9,"6","8","7",99.6
"523","B05015400000000",1973,9,"5","7","7",58.8
"524","B05015500000000",1974,9,"N","N","N",53.9
"525","B05015600000000",1974,9,"N","N","N",53.9
"526","B05015700000000",1973,9,"8","7","6",68.6
"527","B05015800010000",1980,9,"7","6","7",60.4
"528","B05015800020000",1980,9,"7","6","7",76.7
"529","B05015800030000",1980,9,"7","6","7",86.5
"530","B05015800040000",1980,9,"7","6","7",86.5
"531","B05015800050000",1980,9,"7","6","6",88.2
"532","B05015800060000",1980,9,"6","7","6",91.4
"533","B05015800070000",1980,9,"6","7","6",91.4
"534","B05015800080000",1980,9,"6","7","6",91.4
"535","B05015800090000",1980,9,"6","7","6",91.4
"536","B05015800100000",1979,9,"7","7","6",53.9
"537","B05015800110000",1980,9,"7","6","7",91.4
"538","B05015800120000",1980,9,"7","6","7",91.4
"539","B05015800130000",1980,9,"7","7","7",91.4
